,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,abv,abv,abv,abv,abv,abv,abv,abv,ibu,ibu,ibu,ibu,ibu,ibu,ibu,ibu,id,id,id,id,id,id,id,id,ounces,ounces,ounces,ounces,ounces,ounces,ounces,ounces
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Pale Ale (APA),245,244.4244898,155.4018041,1,124,192,372,556,245,1204.685714,675.1903581,1,658,1231,1733,2408,239,0.054577406,0.006322003,0.037,0.051,0.055,0.058,0.073,153,44.94117647,11.54296054,16,36,44,54,68,245,1364.840816,753.8780688,1,755,1287,1962,2683,245,13.19836735,2.398496239,12,12,12,16,32
American Pale Lager,39,270.9487179,160.1275723,2,134,269,392.5,554,39,1199.25641,497.4949732,0,905,1364,1453,2391,37,0.051216216,0.008162023,0.038,0.047,0.05,0.055,0.072,16,26.75,18.29571899,12,15,18.5,29,75,39,1471.666667,761.3627441,61,907,1528,2192.5,2672,39,13.33333333,2.485042977,12,12,12,16,24
American Pale Wheat Ale,97,215.4123711,157.0111297,4,80,143,336,541,97,1142.773196,608.5758051,49,742,1083,1625,2323,95,0.048410526,0.006415564,0.039,0.0445,0.048,0.0515,0.068,61,20.68852459,11.32628357,6,14,20,22,64,97,1443.309278,789.4557112,35,816,1329,2360,2661,97,13.40206186,1.918440088,12,12,12,16,16
American Pilsner,25,229.48,140.9642744,1,139,181,363,536,25,1237.52,770.4855136,76,595,1349,1664,2394,24,0.048625,0.006170142,0.028,0.04575,0.05,0.0505,0.063,14,23.28571429,8.887576216,9,17.75,21.5,28,45,25,1747.76,725.5374606,41,1195,2144,2306,2679,25,12.48,1.326649916,12,12,12,12,16
American Porter,68,185.75,136.6311491,0,71.25,165,250.25,528,68,1168.970588,694.6512702,7,612,1030,1738.25,2383,65,0.0596,0.008565556,0.037,0.055,0.058,0.065,0.082,39,31.92307692,11.70106746,11,24.5,31,35,65,68,1652.852941,713.7925043,32,1056.5,1781,2253.75,2688,68,13.76470588,2.000877771,12,12,12,16,16
American Stout,39,252.6153846,141.2250193,8,155.5,264,376.5,477,39,1150.615385,689.0608641,23,504,1229,1712.5,2404,37,0.063351351,0.008835585,0.05,0.058,0.061,0.068,0.085,16,41.3125,14.62745706,15,33.5,40,48.75,69,39,1503.333333,583.3825744,371,1055,1538,1977.5,2639,39,14.25641026,2.009424488,12,12,16,16,16
American Strong Ale,14,193.4285714,124.160389,32,80,190.5,277,424,14,1364.5,689.993952,239,1068.25,1353,1856.25,2402,13,0.076538462,0.004771712,0.07,0.073,0.077,0.08,0.084,12,65.41666667,19.52833993,17,66,70,72,90,14,1609.642857,607.7252172,585,1075.25,1606.5,2098,2595,14,14,2.075498087,12,12,14,16,16
American White IPA,11,242.2727273,154.6461063,43,92.5,275,325.5,489,11,1530.272727,701.0509384,320,1037.5,1603,2265.5,2302,11,0.059636364,0.006932139,0.042,0.06,0.06,0.062,0.07,6,48.83333333,13.64429063,33,41.25,45,56.25,70,11,1657.454545,449.6386024,692,1525,1682,1893.5,2424,11,12.72727273,1.61807967,12,12,12,12,16
American Wild Ale,6,65.83333333,103.327473,1,10,30.5,51,272,6,1275.166667,1060.66685,79,430.75,1289.5,2245,2285,6,0.072166667,0.011125047,0.06,0.06575,0.0705,0.0745,0.092,2,27,4.242640687,24,25.5,27,28.5,30,6,1950.333333,636.288509,909,1802,1884.5,2401.25,2676,6,17.06666667,1.652472894,16,16,16,18.4,19.2
Baltic Porter,6,215.5,191.5638275,46,66.25,155.5,322,522,6,1371.166667,847.496647,19,902.5,1685,1866.75,2269,6,0.085166667,0.011940128,0.07,0.079,0.082,0.09475,0.1,3,54,30.0499584,25,38.5,52,68.5,85,6,1497.166667,821.0250707,346,1065.75,1398,2083.5,2574,6,13.33333333,2.065591118,12,12,12,15,16
