,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,brewery_id,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,Unnamed: 0,abv,abv,abv,abv,abv,abv,abv,abv,ibu,ibu,ibu,ibu,ibu,ibu,ibu,ibu,id,id,id,id,id,id,id,id,ounces,ounces,ounces,ounces,ounces,ounces,ounces,ounces
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk / Sweet Stout,10,200.6,188.4858969,0,45,186,298.75,556,10,1534.8,720.9140494,71,1440,1705.5,2088.75,2208,10,0.0543,0.00931009,0.049,0.05,0.05,0.05225,0.077,6,25.16666667,4.490731195,20,21.25,25.5,29,30,10,1308.9,1001.691397,50,463.5,1350,1902,2691,10,14.4,2.065591118,12,12,16,16,16
Munich Dunkel Lager,4,184.5,124.8719344,107,120.5,130,194,371,4,1267,692.287031,345,945,1408,1730,1907,4,0.055,0.004966555,0.049,0.052,0.0555,0.0585,0.06,3,20.33333333,5.033222957,15,18,21,23,25,4,1057.25,707.6531048,23,893.75,1323,1486.5,1560,4,13,2,12,12,12,13,16
Munich Helles Lager,20,276.55,160.5898584,34,144,248,388.25,525,20,1047.35,701.9499364,155,517.25,867,1672.5,2376,20,0.0497,0.006697211,0.042,0.045,0.0475,0.0515,0.069,12,17.91666667,3.553700589,12,17,18,18,27,20,1195.95,747.499655,33,575.25,1071,1794.5,2524,20,12.6,1.465390194,12,12,12,12,16
Märzen / Oktoberfest,30,210.4666667,139.3763779,25,96.5,154,354.75,479,30,1389.066667,614.2780418,168,982.5,1414.5,1920,2342,29,0.057724138,0.005939556,0.048,0.055,0.057,0.059,0.077,21,22.9047619,6.323802352,12,21,23,25,40,30,1292.033333,685.8693695,166,622.75,1407.5,1640.25,2461,30,13.46666667,1.960530071,12,12,12,16,16
Oatmeal Stout,18,221.3333333,188.2963871,10,57.25,171,423.25,542,18,1053.111111,912.7520692,5,158,748.5,2053.75,2367,18,0.059666667,0.008492211,0.047,0.055,0.057,0.06225,0.077,11,28.09090909,13.20192823,13,16.5,29,36.5,54,18,1368.666667,774.541914,311,740.75,1230,2136.5,2616,18,14,2.057983022,12,12,14,16,16
Old Ale,2,62,79.19595949,6,34,62,90,118,2,1454.5,714.8849558,949,1201.75,1454.5,1707.25,1960,2,0.0795,0.010606602,0.072,0.07575,0.0795,0.08325,0.087,1,40,,40,40,40,40,40,2,1829.5,1158.948014,1010,1419.75,1829.5,2239.25,2649,2,12,0,12,12,12,12,12
Other,1,103,,103,103,103,103,103,1,216,,216,216,216,216,216,1,0.048,,0.048,0.048,0.048,0.048,0.048,1,16,,16,16,16,16,16,1,2419,,2419,2419,2419,2419,2419,1,12,,12,12,12,12,12
Pumpkin Ale,23,241.9130435,145.0708019,0,134.5,295,361,442,23,1378.130435,778.1439633,74,744.5,1496,2063.5,2403,23,0.058434783,0.012702276,0.045,0.05,0.055,0.0605,0.099,11,24.81818182,12.63976409,10,18.5,20,31.5,48,23,1501.347826,627.285683,334,1029.5,1563,1877,2689,23,13.56521739,1.996043517,12,12,12,16,16
Quadrupel (Quad),4,24,19.33907961,10,10,17.5,31.5,51,4,1296,1010.409488,412,430.75,1247,2112.25,2278,4,0.104,0.016552945,0.09,0.09675,0.099,0.10625,0.128,1,24,,24,24,24,24,24,4,1664.5,812.9721192,923,1005.5,1585,2244,2565,4,16.8,1.6,16,16,16,16.8,19.2
Radler,3,225.3333333,125.8782481,80,188,296,298,300,3,1262,1014.154328,355,714.5,1074,1715.5,2357,3,0.040333333,0.011718931,0.027,0.036,0.045,0.047,0.049,3,19.66666667,11.06044002,8,14.5,21,25.5,30,3,2050,374.1443572,1830,1834,1838,2160,2482,3,13.33333333,2.309401077,12,12,12,14,16
Rauchbier,2,10,0,10,10,10,10,10,2,402.5,14.8492424,392,397.25,402.5,407.75,413,2,0.0605,0.013435029,0.051,0.05575,0.0605,0.06525,0.07,0,,,,,,,,2,2324.5,316.0767312,2101,2212.75,2324.5,2436.25,2548,2,16,0,16,16,16,16,16
Roggenbier,2,211,274.3574311,17,114,211,308,405,2,1484,998.434775,778,1131,1484,1837,2190,2,0.0525,0.003535534,0.05,0.05125,0.0525,0.05375,0.055,1,20,,20,20,20,20,20,2,1635,257.3868684,1453,1544,1635,1726,1817,2,16,0,16,16,16,16,16
Russian Imperial Stout,11,221.6363636,202.9405197,6,21,166,390.5,503,11,1525.272727,490.9354522,441,1427.5,1586,1760.5,2189,11,0.097636364,0.009458041,0.08,0.095,0.099,0.099,0.12,8,86.5,14.67748519,60,75,94,98,98,11,1294.636364,848.9584528,8,803.5,1367,1648.5,2644,11,13.45454545,2.018099916,12,12,12,16,16
Rye Beer,18,158.3888889,154.5453061,10,47.25,79.5,278,471,18,1015.5,775.8447578,189,277.75,776,1809.5,2279,18,0.067055556,0.016137177,0.045,0.0585,0.063,0.0715,0.104,9,52,30.04579838,18,23,57,75,99,18,1615.333333,833.4402833,18,990.75,1781,2418,2620,18,15.73333333,2.838392254,12,16,16,16,24
Saison / Farmhouse Ale,52,197.0576923,149.5653065,1,49.75,177,294.75,477,52,1189.596154,746.7716468,10,425,1283,1916.75,2385,52,0.061442308,0.011349032,0.042,0.0545,0.06,0.06625,0.09,23,28.39130435,6.485922731,20,20,30,34.5,38,52,1645.903846,710.7002142,13,1167,1677,2276.25,2677,52,13.84615385,2.436524489,12,12,12,16,24
Schwarzbier,9,381.3333333,121.042348,159,326,413,428,530,9,1056.444444,917.3700332,160,325,469,1822,2407,9,0.053777778,0.017753716,0.04,0.046,0.05,0.052,0.099,4,31,6.831300511,24,27,30,34,40,9,754.8888889,652.5692386,26,340,620,1097,1964,9,12.88888889,1.763834207,12,12,12,12,16
Scotch Ale / Wee Heavy,15,194.2,194.8652282,15,25,148,330,510,15,1430.533333,645.943813,336,861.5,1522,2038.5,2371,15,0.076266667,0.012079893,0.053,0.0675,0.08,0.086,0.09,13,24.23076923,10.45748413,11,20,23,30,50,15,1545.333333,741.3182916,85,1010,1727,2081.5,2625,15,14.66666667,1.951800146,12,12,16,16,16
Scottish Ale,19,288.7368421,190.4800491,25,122,315,464.5,537,19,1353.894737,474.5394135,562,1007,1528,1594.5,2067,18,0.066333333,0.014868047,0.045,0.054,0.059,0.08,0.095,11,26.90909091,7.980658437,16,20,23,35,35,19,896,635.6175475,5,356,787,1184,2215,19,13.47368421,1.982378511,12,12,12,16,16
Shandy,3,369,92.60129589,299,316.5,334,404,474,3,1887.333333,518.502009,1289,1728.5,2168,2186.5,2205,3,0.045333333,0.004163332,0.042,0.043,0.044,0.047,0.05,0,,,,,,,,3,1372.666667,352.6986438,1027,1193,1359,1545.5,1732,3,13.33333333,2.309401077,12,12,12,14,16
Smoked Beer,1,29,,29,29,29,29,29,1,568,,568,568,568,568,568,1,0.051,,0.051,0.051,0.051,0.051,0.051,1,35,,35,35,35,35,35,1,1584,,1584,1584,1584,1584,1584,1,16,,16,16,16,16,16
Tripel,11,155.4545455,159.1774881,6,27.5,64,339,368,11,1155.454545,840.5712776,20,439,999,1999.5,2312,11,0.086818182,0.004377629,0.082,0.0825,0.085,0.091,0.092,4,23.5,12.87115638,5,20,27.5,31,34,11,1557.636364,772.4159854,537,941,1570,2153,2646,11,14.99090909,3.655257732,12,12,16,16,24
Vienna Lager,20,296.25,134.2949915,51,192,300,370.25,498,20,1111.3,779.4016666,110,362.25,966,1934,2292,20,0.05105,0.003440854,0.046,0.04875,0.05,0.05275,0.06,14,24.35714286,5.555415139,15,20.5,23.5,29.5,33,20,832.75,528.9584478,63,444.75,788,1223.75,2226,20,13,1.777046633,12,12,12,13,16
Wheat Ale,1,3,,3,3,3,3,3,1,1337,,1337,1337,1337,1337,1337,1,0.06,,0.06,0.06,0.06,0.06,0.06,1,24,,24,24,24,24,24,1,2666,,2666,2666,2666,2666,2666,1,16,,16,16,16,16,16
Winter Warmer,15,221.7333333,130.581374,30,115.5,179,362,371,15,1073.066667,777.6874571,22,446,1102,1843,2287,15,0.0704,0.011586938,0.055,0.063,0.069,0.079,0.095,8,24.625,13.8351261,6,16,22,30,45,15,1426.933333,610.8121604,321,974.5,1588,1896,2255,15,13.06666667,1.830950833,12,12,12,14,16
Witbier,51,257.4901961,164.6593298,7,122,284,377,535,51,1175.352941,670.2398324,126,591.5,1109,1716,2366,49,0.05355102,0.011187905,0.037,0.048,0.05,0.056,0.092,24,16.20833333,4.809222722,10,12.75,15.5,20,27,51,1331.137255,764.1905788,108,656,1241,1990,2525,51,13.33333333,1.904380914,12,12,12,16,16
